alertmanager  | ts=2026-05-01T17:24:27.415Z caller=main.go:181 level=info msg="Starting Alertmanager" version="(version=0.27.0, branch=HEAD, revision=0aa3c2aad14cff039931923ab16b26b7481783b5)"
alertmanager  | ts=2026-05-01T17:24:27.415Z caller=main.go:182 level=info build_context="(go=go1.21.7, platform=linux/amd64, user=root@22cd11f671e9, date=20240228-11:51:20, tags=netgo)"
alertmanager  | ts=2026-05-01T17:24:27.415Z caller=cluster.go:186 level=info component=cluster msg="setting advertise address explicitly" addr=172.18.0.4 port=9094
alertmanager  | ts=2026-05-01T17:24:27.555Z caller=cluster.go:683 level=info component=cluster msg="Waiting for gossip to settle..." interval=2s
alertmanager  | ts=2026-05-01T17:24:27.582Z caller=coordinator.go:113 level=info component=configuration msg="Loading configuration file" file=/etc/alertmanager/alertmanager.yml
alertmanager  | ts=2026-05-01T17:24:27.781Z caller=coordinator.go:126 level=info component=configuration msg="Completed loading of configuration file" file=/etc/alertmanager/alertmanager.yml
alertmanager  | ts=2026-05-01T17:24:27.782Z caller=tls_config.go:313 level=info msg="Listening on" address=[::]:9093
alertmanager  | ts=2026-05-01T17:24:27.782Z caller=tls_config.go:316 level=info msg="TLS is disabled." http2=false address=[::]:9093
alertmanager  | ts=2026-05-01T17:24:29.556Z caller=cluster.go:708 level=info component=cluster msg="gossip not settled" polls=0 before=0 now=1 elapsed=2.001102518s
alertmanager  | ts=2026-05-01T17:24:37.559Z caller=cluster.go:700 level=info component=cluster msg="gossip settled; proceeding" elapsed=10.003687982s
alertmanager  | ts=2026-05-01T17:31:22.070Z caller=main.go:542 level=info msg="Received SIGTERM, exiting gracefully..."
alertmanager  | ts=2026-05-02T10:22:45.717Z caller=main.go:181 level=info msg="Starting Alertmanager" version="(version=0.27.0, branch=HEAD, revision=0aa3c2aad14cff039931923ab16b26b7481783b5)"
alertmanager  | ts=2026-05-02T10:22:45.717Z caller=main.go:182 level=info build_context="(go=go1.21.7, platform=linux/amd64, user=root@22cd11f671e9, date=20240228-11:51:20, tags=netgo)"
alertmanager  | ts=2026-05-02T10:22:45.718Z caller=cluster.go:186 level=info component=cluster msg="setting advertise address explicitly" addr=172.18.0.13 port=9094
alertmanager  | ts=2026-05-02T10:22:45.799Z caller=cluster.go:683 level=info component=cluster msg="Waiting for gossip to settle..." interval=2s
alertmanager  | ts=2026-05-02T10:22:45.821Z caller=coordinator.go:113 level=info component=configuration msg="Loading configuration file" file=/etc/alertmanager/alertmanager.yml
alertmanager  | ts=2026-05-02T10:22:45.856Z caller=coordinator.go:126 level=info component=configuration msg="Completed loading of configuration file" file=/etc/alertmanager/alertmanager.yml
alertmanager  | ts=2026-05-02T10:22:46.093Z caller=tls_config.go:313 level=info msg="Listening on" address=[::]:9093
alertmanager  | ts=2026-05-02T10:22:46.093Z caller=tls_config.go:316 level=info msg="TLS is disabled." http2=false address=[::]:9093
alertmanager  | ts=2026-05-02T10:22:47.801Z caller=cluster.go:708 level=info component=cluster msg="gossip not settled" polls=0 before=0 now=1 elapsed=2.001417482s
